auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;00119;01/143/08;1287351070;1303162270;;;"Икона «Господь Вседержитель»";;"Дерево, левкас, масло, оклад серебро 84 пробы, Москва 1908-1917 гг., клеймо мастера Е.К (Е.Кузнецов, Москва), 17.8х14.7 см (утраты)";0;0;329;3;2994
;00109;01/057/07;1287350321;1303161521;;;"Икона «Иоанн Креститель»";;"Дерево, левкас, темпера, сусальное золото, к. XIX в., 33х28 см";0;0;329;2;2989
05;1001456;05/405/06;1314263199;1598346240;;;"Икона «Покров пресвятой Богородицы» ";;"Дерево, темпера, золочение, Россия, XIX в., 35,5х31 см";0;0;329;2;115608
;00108;01/057/06;1303204843;1587222360;;;"Икона «Св. Прасковья, Архангел Гавриил и Св. Великомученица Лукерья»";;"Дерево, левкас, темпера, сусальное золото, к. XIX в., 30.5х26.5 см";0;0;329;2;1437
;00108;01/057/06;1287350281;1303161481;;;"Икона «Св. Прасковья, Архангел Гавриил и Св. Великомученица Лукерья»";;"Дерево, левкас, темпера, сусальное золото, к. XIX в., 30.5х26.5 см";0;0;329;2;2988
;00106;01/053/01;1294774697;1326331380;;;"Икона «Святая София Премудрость с предстоящими святыми Козьмой и Домианом»";;"Дерево, левкас, темпера, Россия, с. XIX в., 18х15.3 см (утраты красочного слоя, осыпи)";0;0;329;2;1435
05;1001478;05/497/16;1317717932;1601800980;;;"Икона «Святой Апостол и Евангелист Иоанн Богослов» ";;"Масло на цинке, к. XIX в., диаметр 21,5 см";0;0;329;2;115630
;00107;01/053/02;1294774697;1326331433;;;"Икона «Святой Симеон Верхотурский»";;"Дерево, левкас, темпера, Россия к. XIX в., 53х44.5 см (продольная трещина, осыпи, утраты)";0;0;329;2;1436
;00107;01/053/02;1326438795;1578792180;;;"Икона «Святой Симеон Верхотурский»";;"Дерево, левкас, темпера, Россия к. XIX в., 53х44.5 см (продольная трещина, осыпи, утраты)";0;0;329;2;116353
;00111;01/057/10;1303204843;1587222360;;;"Икона «Спаситель»";;"Дерево, левкас, темпера, к. XIX в., 31х26.5 см";0;0;329;2;1440
;00111;01/057/10;1287350339;1303161539;;;"Икона «Спаситель»";;"Дерево, левкас, темпера, к. XIX в., 31х26.5 см";0;0;329;2;2991
02;1000401;02/213/09;1296626528;1580644020;4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Икона «Сретение Господне».";;"Дерево, масло, сусальное золочение, Россия, к. XIX в., размер 31х26,5 см. (сколы, потертости)";0;0;329;2;3326
;00117;01/089/05;1287350902;1303162102;;;Крест;;"Дерево,резьба, к. XIX в., 29х13.5 см";0;0;329;2;2993
;00105;01/048/05;1287350187;1303161387;;;"Образок «Святой Митрофаний Воронежский»";;"Финифть, металл, к. XIX в., 3.5х3 см";0;0;329;2;2987
;00113;01/086/04;1303204843;1587222360;;;"Образок «Святой Никита»";;"Серебро, финифть, повтор ХХ в., 7.5х5.5 см";0;0;329;4;1442
;00113;01/086/04;1287350362;1303161562;;;"Образок «Святой Никита»";;"Серебро, финифть, повтор ХХ в., 7.5х5.5 см";0;0;329;4;2992
;00104;01/048/04;1287349910;1303161110;;;"Образок «Святой Тихон Задонский»";;"Финифть, металл, к. XIX в., 6х5 см";0;0;329;2;2986
;00103;01/048/03;1287349910;1303161110;;;"Образок «Святой Феодосий Черниговский»";;"Финифть, металл, к. XIX в., 7х6 см";0;0;329;3;2985
