auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price1;price2;price3;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;00061;01/062/07;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Дети с гусями на мосту»";;"Холст, масло, подпись неразборчива, Западная Европа, ХХ век, 36.5х50 см";8000;;;3249105.jpg;8170040.jpg;4545443.jpg;;;;;;;;;;;
;00038;01/046/02;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Зимний пейзаж, закат»";;"Холст, масло, неизвестный художник, н. ХХ в., 106.5х85 см";60000;;;zapadnoevro_zimnij_peizag_01_046_02_2.jpg;zapadnoevro_zimnij_peizag_01_046_02_1.jpg;;;;;;;;;;;;
;00032;01/025/01;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Катание на коньках»";;"Холст, масло, неизвестный художник, Зап. Европа, н. ХIХ в., 68х94 см, (холст дублирован)";10000;;;zapadnoevro_katanie_na_konkah_01_025_01_2.jpg;zapadnoevro_katanie_na_konkah_01_025_01_1.jpg;;;;;;;;;;;;
;00049;01/132/01;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Кошка с котятами»";;"Холст, масло, подпись «W. Sajwar 1919», 25х33 см (реставрация)";0;;;zapadnoevro_koshka_01_132_01_3.jpg;zapadnoevro_koshka_01_132_01_2.jpg;zapadnoevro_koshka_01_132_01_1.jpg;;;;;;;;;;;
;00062;01/065/02;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;«Мальчишки»;;"Копия с картины Мурильо холст, масло, к. XIX в., 56х45 см (кромки холста дублированы, реставрация)";6500;;;zapadnoevro_malchishki_01_065_02_1.jpg;zapadnoevro_malchishki_01_065_02_2.jpg;;;;;;;;;;;;
02;1000272;02/193/01;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"«Натюрморт с цветами».";;"Бумага, гуашь, подпись слева внизу «Edmond Le Villain», Западная Европа, к. XIX в., в современной раме и паспарту, под стеклом, размер 76х64 см";17000;;;02_193_01_1.jpg;02_193_01_2.jpg;02_193_01_3.jpg;;;;;;;;;;;
;00063;01/065/04;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Портрет Бетховена»";;"Неизвестный художник картон, масло, Западная Европа, н. ХХ в., 57,5х43,5 см (потертости красочного слоя)";9000;;;zapadnoevro_Bethoven_01_065_04_1.jpg;zapadnoevro_Bethoven_01_065_04_2.jpg;;;;;;;;;;;;
;00042;01/047/02;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Портрет девочки в шляпке»";;"Холст, масло, Западноевропейская школа живописи, подпись на подрамнике LAWRENCE…, 1-я пол ХХ в., 35.3х27.3 см";7000;;;zapadnoevro_portret_devochki_01_047_02_2.jpg;zapadnoevro_portret_devochki_01_047_02_1.jpg;;;;;;;;;;;;
;00051;01/135/07;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Птичий двор»";;"Холст, масло, подпись - неразборчиво, н. ХХ в., 37х48 см";10000;;;zapadnoevro_01_135_07_3.jpg;zapadnoevro_01_135_07_2.jpg;zapadnoevro_01_135_07_1.jpg;;;;;;;;;;;
;00030;01/008/06;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Собачки» (парные)";;"Масло, холст на картоне, подп. Jene Romauge, Франция н. ХХ в., 8.5х7 см";0;;;zapadnoevro_sobachki_ha_holste_01_008_06_7.jpg;zapadnoevro_sobachki_ha_holste_01_008_06_6.jpg;zapadnoevro_sobachki_ha_holste_01_008_06_5.jpg;zapadnoevro_sobachki_ha_holste_01_008_06_4.jpg;zapadnoevro_sobachki_ha_holste_01_008_06_3.jpg;zapadnoevro_sobachki_ha_holste_01_008_06_2.jpg;zapadnoevro_sobachki_ha_holste_01_008_06_1.jpg;;;;;;;
;00041;01/046/06;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"«Южная ночь, луна»";;"Холст, масло, неизвестный художник, к. XIX в., 54х71 см";30000;;;zapadnoevro_ugnaya_noch_01_046_06_2.jpg;zapadnoevro_ugnaya_noch_01_046_06_1.jpg;;;;;;;;;;;;
02;1000277;02/206/17;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Акварели парные «Лошади».";;"Бумага, смеш. техника, подп. Eug. Pichaubes, Западная Европа, н. ХХ в., 29х39 см.";0;;;02_206_17_1.jpg;02_206_17_2.jpg;02_206_17_3.jpg;02_206_17_4.jpg;02_206_17_5.jpg;02_206_17_6.jpg;;;;;;;;
02;1000279;02/206/19;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Акварель «Венеция, набережная».";;"Бумага, акварель, Западная Европа, к. XIX в., размер 62х34 см.";0;;;02_206_19_1.jpg;02_206_19_2.jpg;02_206_19_3.jpg;;;;;;;;;;;
;1000681;03/297/03;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина  «Горный пейзаж с дубами»";;"Масло, холст, подпись в правом нижнем углу «G Hempe 67», Западная Европа, 2-я пол. XIX в., 43,8х57,8 см (холст дублирован)";0;;;03_297_03_08.jpg;03_297_03_07.jpg;03_297_03_06.jpg;03_297_03_05.jpg;03_297_03_04.jpg;03_297_03_03.jpg;03_297_03_02.jpg;03_297_03_01.jpg;;;;;;
;1000668;03/204/04;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Березы»";;"Холст, масло, подпись внизу справа неразборчиво, Западная Европа, к. XIX - н. XX вв., размер 120х150 см (реставрация, в раме)";45000;;;03_204_04_03.jpg;03_204_04_04.jpg;03_204_04_02.jpg;03_204_04_01.jpg;;;;;;;;;;
;1000679;03/288/02;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Вакханка»";;"Картон, масло, без подписи, н. XX в., размер 65х55 см";0;;;03_288_02_02.jpg;03_288_02_01.jpg;;;;;;;;;;;;
02;1000280;02/206/22;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Картина «Ветка яблони».";;"Неизвестный художник, холст, масло, н. ХХ в., 85х35 см (холст дублирован)";0;;;02_206_22_1.jpg;02_206_22_2.jpg;;;;;;;;;;;;
;1000687;03/374/05;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Гусары»";;"Холст, масло, подпись «Froment(?)», к. XIX в., на оборотной стороне холста полусмытая печать, 81х65 см";0;;;03_374_05_04.jpg;03_374_05_03.jpg;03_374_05_02.jpg;03_374_05_01.jpg;;;;;;;;;;
;1000690;03/374/08;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Итальянский пейзаж»";;"Холст, масло, без подписи, XIX в., 60х73 см (холст дублирован)";0;;;03_374_08_02.jpg;03_374_08_01.jpg;;;;;;;;;;;;
;00025;01/002/14;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Картина «Капри, терраса»";;"Масло, холст, внизу подпись: М. Federico, Capri, н. ХХ в.,  39.5х25 см";15000;;;zapadnoevro_kapri,terrasa_01_002_14_3.jpg;zapadnoevro_kapri,terrasa_01_002_14_2.jpg;zapadnoevro_kapri,terrasa_01_002_14_1.jpg;;;;;;;;;;;
02;1000275;02/206/13;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Картина «Мать и дитя».";;"Неизвестный художник, холст, масло, Западная Европа, XIX в., 45х32.5 см";16000;;;02_206_13_1.jpg;02_206_13_2.jpg;02_206_13_3.jpg;;;;;;;;;;;
02;1000270;02/061/04;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Картина «Морской пейзаж с гротом».";;"Неизвестный художник, холст, масло, к. XIX в., 45х60 см (реставрация, холст дублирован)";0;;;02_061_04_1.jpg;02_061_04_2.jpg;;;;;;;;;;;;
;1000675;03/223/35;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Обнаженная с собакой»";;"Холст, масло, без подписи, Западная Европа, н. ХХ в., размер 60х70 см (реставрация, кромки дублированы, современная рама)";12000;;;03_223_35_02.jpg;03_223_35_01.jpg;;;;;;;;;;;;
;1000682;03/352/01;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Олени на лесной дороге»";;"Холст, масло, Западная Европа, к. XIX - н. ХХ в., подпись неразборчиво, 32х56,5 см (в раме своего времени)";11000;;;3440756.jpg;1121589.jpg;9723880.jpg;;;;;;;;;;;
;1000692;03/374/10;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Пейзаж с коровами»";;"Холст, масло, подпись «Corot» (поздняя), к. XIX - н. ХХ в., 44,5х62 см (холст дублирован)";0;;;03_374_10_02.jpg;03_374_10_03.jpg;03_374_10_01.jpg;;;;;;;;;;;
;1000684;03/352/03;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Песчаный обрыв у озера»";;"Картон, масло, к. XIX в., без подписи, 22х31,5 см (в раме своего времени)";0;;;03_352_03_02.jpg;03_352_03_01.jpg;;;;;;;;;;;;
;1000689;03/374/07;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Портрет девушки»";;"Холст, масло, без подписи, XIX в., 45х36 см";0;;;03_374_07_02.jpg;03_374_07_01.jpg;;;;;;;;;;;;
;1000678;03/227/02;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Рыбак и девушка»";;"Холст, масло, подпись «L. Gartner», Западная Европа, к. XIX в., размер 82х50 см (осыпи, потертости)";24000;;;03_227_02_03.jpg;03_227_02_02.jpg;03_227_02_01.jpg;;;;;;;;;;;
02;1000271;02/061/06;"2010-12-04 15:00:00";"2010-12-14 15:00:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Картина «Рыбаки в море».";;"Неизвестный художник, холст, масло, Западная Европа, к. XIX в., 53х71 см (потертости красочного слоя)";10000;;;02_061_06_1.jpg;02_061_06_2.jpg;;;;;;;;;;;;
;1000683;03/352/02;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Рыбачьи лодки у берега»";;"Холст, масло, к. XVIII - н. XIX в., без подписи, на обороте наклейка с печатным текстом: «Тоmas Luny 1759-1837... », 19х29 см (заплатка и небольшой прорыв на холсте, в современной раме)";0;;;03_352_02_04.jpg;03_352_02_03.jpg;03_352_02_02.jpg;03_352_02_01.jpg;;;;;;;;;;
02;1000286;02/215/04;"2010-12-04 15:00:00";"2010-12-14 15:10:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Картина «Сеттер».";;"Дерево, масло, подпись Maris Simon (1873-1935), Голландия, н. ХХ в., 20х25 см";9000;;;02_215_04_1.jpg;02_215_04_2.jpg;02_215_04_3.jpg;;;;;;;;;;;
;1000667;03/046/01;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Картина «Штормовое море, рыбаки»";;"Холст, масло, подпись «Collianos», н. ХХ в., 89,5х134 см";0;;;1726344.jpg;5128870.jpg;3141830.jpg;;;;;;;;;;;
;1000688;03/374/06;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Парные картины «Высадка с корабля. Стоянка», «Всадник на берегу»";;"Паркетированная доска, подпись «J. Krause 1894», 35х50 см";0;;;5177129.jpg;7731065.jpg;6039186.jpg;2993539.jpg;4369585.jpg;7400075.jpg;;;;;;;;
;1000686;03/374/04;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Парные картины «Морской пейзаж», «Парусники на заре»";;"Холст, масло, к. XIX в.(?), подпись неразборчиво, 69х100 см";0;;;6474845.jpg;5461770.jpg;4526353.jpg;3475976.jpg;1136609.jpg;5245860.jpg;;;;;;;;
