auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;00209;01/002/04;"2012-04-23 12:48:59";"2014-04-21 20:51:00";;;"Две чайные пары «Одуванчики»";;"Костяной фарфор, роспись полихромная, надглазурная золочение, ЛФЗ (Ленинградский фарфоровый завод им. Ломоносова ), марка красно-коричневая, 1980-е гг., высота чашки 8 см, диаметр блюдца 12 см";0;0;farfor_chai_odyvanchiki_01_002_04_1.jpg;farfor_chai_odyvanchiki_01_002_04_2.jpg;farfor_chai_odyvanchiki_01_002_04_3.jpg;farfor_chai_odyvanchiki_01_002_04_4.jpg;farfor_chai_odyvanchiki_01_002_04_5.jpg;farfor_chai_odyvanchiki_01_002_04_6.jpg;farfor_chai_odyvanchiki_01_002_04_7.jpg;farfor_chai_odyvanchiki_01_002_04_8.jpg;;;;;;
;00229;01/136/05;"2010-12-22 23:39:11";"2010-12-27 14:04:49";;;"Композиция «Кот и повар»";;"Фарфор, полихромная роспись, автор В.А. Михалев, роспись Е.Н. Лупановой, ЛФЗ (Ленинградский Фарфоровый завод им. Ломоносова),1952 г., высота 19.5 см";2300;2300;farfor_kot_i_povar_01_136_05_1.jpg;farfor_kot_i_povar_01_136_05_2.jpg;farfor_kot_i_povar_01_136_05_3.jpg;farfor_kot_i_povar_01_136_05_4.jpg;farfor_kot_i_povar_01_136_05_5.jpg;;;;;;;;;
;00230;01/136/06;"2010-12-22 23:39:11";"2010-12-23 12:06:43";;;"Композиция «Малахитовая шкатулка»";;"фарфор, полихромная роспись, золочение, ЛОП (Ленинградский опытный завод), 1960-е г., высота 21 см";1900;1900;farfor_malahitovaya_01_136_06_1.jpg;farfor_malahitovaya_01_136_06_2.jpg;farfor_malahitovaya_01_136_06_3.jpg;farfor_malahitovaya_01_136_06_4.jpg;farfor_malahitovaya_01_136_06_5.jpg;;;;;;;;;
02;1000469;02/195/04;"2011-01-18 01:34:39";"2011-04-20 11:17:38";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Композиция из двух фигур «Золушка и Принц», «Принц».";;"Фарфор, роспись полихромная, золочение, ЛЗФИ, 1950-60 гг. Высота 8 и 11,5 см";12000;12000;02_195_04_1.jpg;02_195_04_2.jpg;02_195_04_3.jpg;02_195_04_4.jpg;02_195_04_5.jpg;02_195_04_6.jpg;02_195_04_7.jpg;02_195_04_8.jpg;02_195_04_9.jpg;;;;;
;1000776;03/223/22;"2011-04-15 17:03:44";"2012-04-14 22:49:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Конфетница с крышкой";;"Фарфор, роспись, золочение, Германия, Розенталь, марка 1938 г., серия «Sanssouci», на дне темно-коричневым «Handgemahlt Helene Knuth» (ручная роспись Хелен Кнут), диаметр 18 см, высота 18 см";0;0;03_223_22_02.jpg;03_223_22_03.jpg;03_223_22_04.jpg;03_223_22_05.jpg;;;;;;;;;;
;1000776;03/223/22;"2012-04-16 11:34:50";"2020-04-14 22:49:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Конфетница с крышкой";;"Фарфор, роспись, золочение, Германия, Розенталь, марка 1938 г., серия «Sanssouci», на дне темно-коричневым «Handgemahlt Helene Knuth» (ручная роспись Хелен Кнут), диаметр 18 см, высота 18 см";0;0;03_223_22_05.jpg;03_223_22_02.jpg;03_223_22_03.jpg;03_223_22_04.jpg;;;;;;;;;;
;1002130;05/654/01;"2012-05-23 13:58:39";"2012-08-06 15:04:08";;;"Ложок в виде кошелька";;"Фаянс, фабрика Кузнецовых, размер 11,5х10,5 см";7200;7200;2380769.jpg;3063783.jpg;7834339.jpg;;;;;;;;;;;
02;1000465;02/191/06;"2011-02-02 17:52:52";"2012-02-02 23:38:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Башни Кремля».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_06_1.jpg;02_191_06_2.jpg;;;;;;;;;;;;
02;1000465;02/191/06;"2012-02-03 10:33:15";"2012-08-04 11:33:15";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Башни Кремля».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_06_1.jpg;02_191_06_2.jpg;;;;;;;;;;;;
02;1000465;02/191/06;"2012-08-06 15:13:41";"2013-02-05 14:13:41";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Башни Кремля».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_06_1.jpg;02_191_06_2.jpg;;;;;;;;;;;;
02;1000465;02/191/06;"2013-02-05 15:38:32";"2013-08-07 16:38:32";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Башни Кремля».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_06_1.jpg;02_191_06_2.jpg;;;;;;;;;;;;
02;1000461;02/191/02;"2011-02-02 17:55:32";"2012-02-02 23:41:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Большой театр».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_02_1.jpg;02_191_02_2.jpg;;;;;;;;;;;;
02;1000461;02/191/02;"2012-02-03 10:34:28";"2012-08-04 11:34:28";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Большой театр».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_02_1.jpg;02_191_02_2.jpg;;;;;;;;;;;;
02;1000461;02/191/02;"2012-08-06 15:10:59";"2013-02-05 14:10:59";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Большой театр».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_02_1.jpg;02_191_02_2.jpg;;;;;;;;;;;;
02;1000461;02/191/02;"2013-02-05 15:37:40";"2013-08-07 16:37:40";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Большой театр».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_02_2.jpg;02_191_02_1.jpg;;;;;;;;;;;;
02;1000462;02/191/03;"2011-02-02 17:55:32";"2012-02-02 23:41:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Дворец съездов».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина)";0;0;02_191_03_1.jpg;02_191_03_2.jpg;;;;;;;;;;;;
02;1000462;02/191/03;"2012-02-03 10:34:03";"2012-08-04 11:34:03";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Дворец съездов».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина)";0;0;02_191_03_1.jpg;02_191_03_2.jpg;;;;;;;;;;;;
02;1000462;02/191/03;"2012-08-06 15:12:12";"2013-02-05 14:12:12";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Дворец съездов».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина)";0;0;02_191_03_1.jpg;02_191_03_2.jpg;;;;;;;;;;;;
02;1000462;02/191/03;"2013-02-05 15:37:50";"2013-08-07 16:37:50";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Дворец съездов».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина)";0;0;02_191_03_1.jpg;02_191_03_2.jpg;;;;;;;;;;;;
02;1000466;02/191/07;"2011-02-02 17:52:52";"2012-02-02 23:38:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Исторический музей».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_07_1.jpg;02_191_07_2.jpg;;;;;;;;;;;;
02;1000466;02/191/07;"2012-02-03 10:32:57";"2012-08-04 11:32:57";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Исторический музей».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_07_1.jpg;02_191_07_2.jpg;;;;;;;;;;;;
02;1000466;02/191/07;"2012-08-06 15:14:00";"2013-02-05 14:14:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Исторический музей».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_07_1.jpg;02_191_07_2.jpg;;;;;;;;;;;;
02;1000466;02/191/07;"2013-02-05 15:38:44";"2013-08-07 16:38:44";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Исторический музей».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_07_1.jpg;02_191_07_2.jpg;;;;;;;;;;;;
02;1000468;02/191/09;"2012-02-03 10:32:31";"2012-08-04 11:32:31";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Кремлёвские соборы».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_09_1.jpg;02_191_09_2.jpg;;;;;;;;;;;;
02;1000468;02/191/09;"2011-02-02 17:51:05";"2012-02-02 23:36:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Кремлёвские соборы».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_09_1.jpg;02_191_09_2.jpg;;;;;;;;;;;;
02;1000468;02/191/09;"2012-08-06 15:14:50";"2013-02-05 14:14:50";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Кремлёвские соборы».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_09_1.jpg;02_191_09_2.jpg;;;;;;;;;;;;
02;1000468;02/191/09;"2013-02-05 15:39:10";"2013-08-07 16:39:10";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Кремлёвские соборы».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_09_1.jpg;02_191_09_2.jpg;;;;;;;;;;;;
02;1000460;02/191/01;"2011-02-02 17:51:05";"2012-02-02 23:36:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Московский университет».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне)";0;0;02_191_01_1.jpg;02_191_01_2.jpg;;;;;;;;;;;;
02;1000460;02/191/01;"2012-02-03 10:32:19";"2012-08-04 11:32:19";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Московский университет».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне)";0;0;02_191_01_2.jpg;02_191_01_1.jpg;;;;;;;;;;;;
02;1000460;02/191/01;"2012-08-06 15:15:52";"2013-02-05 14:15:52";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Московский университет».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне)";0;0;02_191_01_1.jpg;02_191_01_2.jpg;;;;;;;;;;;;
02;1000460;02/191/01;"2013-02-05 15:39:17";"2013-08-07 16:39:17";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Московский университет».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне)";0;0;02_191_01_1.jpg;02_191_01_2.jpg;;;;;;;;;;;;
02;1000463;02/191/04;"2011-02-02 17:55:32";"2012-02-02 23:41:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «СЭВ» (Здание «Совета экономической взаимопомощи»).";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_04_1.jpg;02_191_04_2.jpg;;;;;;;;;;;;
02;1000463;02/191/04;"2012-02-03 10:33:46";"2012-08-04 11:33:46";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «СЭВ» (Здание «Совета экономической взаимопомощи»).";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_04_1.jpg;02_191_04_2.jpg;;;;;;;;;;;;
02;1000463;02/191/04;"2012-08-06 15:12:51";"2013-02-05 14:12:51";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «СЭВ» (Здание «Совета экономической взаимопомощи»).";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_04_1.jpg;02_191_04_2.jpg;;;;;;;;;;;;
02;1000463;02/191/04;"2013-02-05 15:38:08";"2013-08-07 16:38:08";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «СЭВ» (Здание «Совета экономической взаимопомощи»).";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_04_1.jpg;02_191_04_2.jpg;;;;;;;;;;;;
02;1000464;02/191/05;"2011-02-02 17:52:52";"2012-02-02 23:38:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Третьяковская галерея».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_05_1.jpg;02_191_05_2.jpg;;;;;;;;;;;;
02;1000464;02/191/05;"2012-02-03 10:33:31";"2012-08-04 11:33:31";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Третьяковская галерея».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_05_1.jpg;02_191_05_2.jpg;;;;;;;;;;;;
02;1000464;02/191/05;"2012-08-06 15:13:22";"2013-02-05 14:13:22";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Третьяковская галерея».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_05_1.jpg;02_191_05_2.jpg;;;;;;;;;;;;
02;1000464;02/191/05;"2013-02-05 15:38:19";"2013-08-07 16:38:19";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Третьяковская галерея».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_05_1.jpg;02_191_05_2.jpg;;;;;;;;;;;;
02;1000467;02/191/08;"2011-02-02 17:52:52";"2012-02-02 23:38:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Храм Василия Блаженного».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_08_1.jpg;02_191_08_2.jpg;;;;;;;;;;;;
02;1000467;02/191/08;"2012-02-03 10:32:45";"2012-08-04 11:32:45";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Храм Василия Блаженного».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_08_2.jpg;02_191_08_1.jpg;;;;;;;;;;;;
02;1000467;02/191/08;"2012-08-06 15:14:24";"2013-02-05 14:14:24";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Храм Василия Блаженного».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_08_1.jpg;02_191_08_2.jpg;;;;;;;;;;;;
02;1000467;02/191/08;"2013-02-05 15:38:54";"2013-08-07 16:38:54";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Настенное декоративное блюдо «Храм Василия Блаженного».";;"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";0;0;02_191_08_1.jpg;02_191_08_2.jpg;;;;;;;;;;;;
;1000780;03/223/41;"2011-04-15 17:03:44";"2012-04-14 22:49:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Парные блюда «Цветы»";;"Фарфор, желтое и зеленое крытье, роспись, золочение, Западная Германия, фабрика Фюрстенберг, 2-я пол. 1970 гг. - н. 1980-х гг., марка синяя после 1975 г., Westgermany, золотом handgemahlt 8/80, диаметр 32 см";0;0;03_223_41_01.jpg;03_223_41_02.jpg;03_223_41_03.jpg;;;;;;;;;;;
;1000780;03/223/41;"2012-04-16 11:35:38";"2018-04-14 22:49:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Парные блюда «Цветы»";;"Фарфор, желтое и зеленое крытье, роспись, золочение, Западная Германия, фабрика Фюрстенберг, 2-я пол. 1970 гг. - н. 1980-х гг., марка синяя после 1975 г., Westgermany, золотом handgemahlt 8/80, диаметр 32 см";0;0;03_223_41_02.jpg;03_223_41_01.jpg;03_223_41_03.jpg;;;;;;;;;;;
04;1001447;"04/383/01 ";"2011-06-24 17:07:41";"2013-06-24 17:05:00";;;"Парные фигурки «Юноша» и «Девушка» ";;"Фарфор, роспись кобальтом, Германия, Тюрингия, Графенталь, Carl Scheidig Porsellaufadrik, 1935-1950-е гг., марка синяя формы 1935-1990 гг., высота 15 см (сколы на двух пальцах)";0;0;5063768.jpg;7282676.jpg;6407360.jpg;3924822.jpg;9860167.jpg;8220867.jpg;;;;;;;;
;1001799;05/572/06;"2012-02-29 17:03:55";"2014-03-01 16:58:00";;;"Парные фигуры «Старик» и «Старуха»";;"Бисквит, роспись, Россия, н. ХХ в., по мотивам сказки А.С. Пушкина «Золотая рыбка», высота 17,2 см и 14,2 см
";0;0;9669474.jpg;8278012.jpg;8187481.jpg;7720839.jpg;2530401.jpg;;;;;;;;;
;00203;01/002/03;"2010-10-21 13:49:37";"2010-12-13 11:41:51";;;"Подставки под яйца «Медвежата»";;"4 предмета, фарфор, роспись монохромная подглазурная, ЛФЗ (Ленинградский фарфоровый завод им. Ломоносова ), марка красно-коричневая, 1980-е гг., высота 8 см";840;840;farfor_medvegata_01_002_03_5.jpg;farfor_medvegata_01_002_03_4.jpg;farfor_medvegata_01_002_03_1.jpg;farfor_medvegata_01_002_03_2.jpg;farfor_medvegata_01_002_03_3.jpg;farfor_medvegata_01_002_03_6.jpg;farfor_medvegata_01_002_03_7.jpg;;;;;;;
;1002154;05/679/04;"2012-07-11 16:38:15";"2014-07-11 16:37:00";;;"Скульптура «Сеттер с куропаткой»";;" Фарфор, роспись, Дания, Bing&Groendal, 1950-1970-е гг. , по модели Laurits Jensen. Длина 25 см";0;0;9437926.jpg;7474886.jpg;5505051.jpg;8337511.jpg;9539227.jpg;7236585.jpg;;;;;;;;
