auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price1;price2;price3;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;00106;01/053/01;"2011-01-11 22:38:17";"2012-01-12 05:23:00";;;"Икона «Святая София Премудрость с предстоящими святыми Козьмой и Домианом»";;"Дерево, левкас, темпера, Россия, с. XIX в., 18х15.3 см (утраты красочного слоя, осыпи)";0;;;ikoni_Sofia_01_053_01_1.jpg;ikoni_Sofia_01_053_01_2.jpg;;;;;;;;;;;;
05;1001478;05/497/16;"2011-10-04 12:45:32";"2020-10-04 11:43:00";;;"Икона «Святой Апостол и Евангелист Иоанн Богослов» ";;"Масло на цинке, к. XIX в., диаметр 21,5 см";0;;;5114492.jpg;2897448.jpg;;;;;;;;;;;;
;00107;01/053/02;"2011-01-11 22:38:17";"2012-01-12 05:23:53";;;"Икона «Святой Симеон Верхотурский»";;"Дерево, левкас, темпера, Россия к. XIX в., 53х44.5 см (продольная трещина, осыпи, утраты)";0;;;ikoni_Simeon_01_053_02_1.jpg;ikoni_Simeon_01_053_02_2.jpg;;;;;;;;;;;;
;00107;01/053/02;"2012-01-13 11:13:15";"2020-01-12 04:23:00";;;"Икона «Святой Симеон Верхотурский»";;"Дерево, левкас, темпера, Россия к. XIX в., 53х44.5 см (продольная трещина, осыпи, утраты)";0;;;ikoni_Simeon_01_053_02_1.jpg;ikoni_Simeon_01_053_02_2.jpg;;;;;;;;;;;;
;00111;01/057/10;"2011-04-19 13:20:43";"2020-04-18 18:06:00";;;"Икона «Спаситель»";;"Дерево, левкас, темпера, к. XIX в., 31х26.5 см";0;;;ikoni_spasitelj_01_057_10_1.jpg;ikoni_spasitelj_01_057_10_2.jpg;;;;;;;;;;;;
;00111;01/057/10;"2010-10-18 01:18:59";"2011-04-19 01:18:59";;;"Икона «Спаситель»";;"Дерево, левкас, темпера, к. XIX в., 31х26.5 см";0;;;ikoni_spasitelj_01_057_10_1.jpg;ikoni_spasitelj_01_057_10_2.jpg;;;;;;;;;;;;
02;1000401;02/213/09;"2011-02-02 09:02:08";"2020-02-02 14:47:00";4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.;"Икона «Сретение Господне».";;"Дерево, масло, сусальное золочение, Россия, к. XIX в., размер 31х26,5 см. (сколы, потертости)";0;;;02_213_09_1.jpg;02_213_09_2.jpg;;;;;;;;;;;;
;00117;01/089/05;"2010-10-18 01:28:22";"2011-04-19 01:28:22";;;Крест;;"Дерево,резьба, к. XIX в., 29х13.5 см";0;;;ikoni_krest_01_089_05_1.jpg;ikoni_krest_01_089_05_2.jpg;;;;;;;;;;;;
;00105;01/048/05;"2010-10-18 01:16:27";"2011-04-19 01:16:27";;;"Образок «Святой Митрофаний Воронежский»";;"Финифть, металл, к. XIX в., 3.5х3 см";0;;;ikoni_obrazok_Mitrofanij_01_048_05_1.jpg;ikoni_obrazok_Mitrofanij_01_048_05_2.jpg;;;;;;;;;;;;
;00113;01/086/04;"2011-04-19 13:20:43";"2020-04-18 18:06:00";;;"Образок «Святой Никита»";;"Серебро, финифть, повтор ХХ в., 7.5х5.5 см";0;;;ikoni_Nikita_01_086_04_1.jpg;ikoni_Nikita_01_086_04_2.jpg;ikoni_Nikita_01_086_04_3.jpg;ikoni_Nikita_01_086_04_4.jpg;;;;;;;;;;
;00113;01/086/04;"2010-10-18 01:19:22";"2011-04-19 01:19:22";;;"Образок «Святой Никита»";;"Серебро, финифть, повтор ХХ в., 7.5х5.5 см";0;;;ikoni_Nikita_01_086_04_1.jpg;ikoni_Nikita_01_086_04_2.jpg;ikoni_Nikita_01_086_04_3.jpg;ikoni_Nikita_01_086_04_4.jpg;;;;;;;;;;
;00104;01/048/04;"2010-10-18 01:11:50";"2011-04-19 01:11:50";;;"Образок «Святой Тихон Задонский»";;"Финифть, металл, к. XIX в., 6х5 см";0;;;ikoni_obrazok_Tihon_01_048_04_1.jpg;ikoni_obrazok_Tihon_01_048_04_2.jpg;;;;;;;;;;;;
;00103;01/048/03;"2010-10-18 01:11:50";"2011-04-19 01:11:50";;;"Образок «Святой Феодосий Черниговский»";;"Финифть, металл, к. XIX в., 7х6 см";0;;;ikoni_obrazok_feodosij_01_048_03_1.jpg;ikoni_obrazok_feodosij_01_048_03_2.jpg;;;;;;;;;;;;
