auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1002699;05/506/07;"2012-12-20 18:13:41";"2014-12-20 18:08:00";;;"Кольцо с сапфиром. ";;"Золото 585°, 1 сапфир 0,8 карат 2/2, 5 бриллиантов Кр 57 0,61 карат 2/2, 1 фианит. Вес 3,01 гр. ";0;0;1852584.jpg;5519161.jpg;;;;;;;;;;;;
;1002703;05/510/04;"2012-12-20 18:54:41";"2014-12-20 18:52:00";;;"Кольцо со шпинелью.";;"Золото 585°, благородная шпинель 0,6 карат, 26 бриллиантов Кр-17 0,85 карат 3/3. Вес 4,05 гр. ";0;0;4882363.jpg;9862750.jpg;4271487.jpg;;;;;;;;;;;
;1002711;05/796/01;"2012-12-21 14:13:40";"2014-12-21 14:11:00";;;Кольцо.;;"Золото двухцветное 14 карат (585°), 1 бриллиант Кр-57 0,68 карат 8/8, 28 бриллиантов Кр-57 0,28 карат. Вес 2,74 гр. ";0;0;2798358.jpg;1335200.jpg;7941539.jpg;1817015.jpg;;;;;;;;;;
;1002706;05/510/06;"2012-12-21 12:18:23";"2014-12-21 12:16:00";;;"Подвеска с рубином «Капля».";;"Золото 585°, рубин 8,0 карат, 18 бриллиантов, 9 алмазов о.м. 1,8 карат. Вес 6,63 гр. ";0;0;1401910.jpg;6245400.jpg;9824917.jpg;;;;;;;;;;;
;1002704;03/375/04;"2012-12-21 10:52:43";"2014-12-21 10:47:00";;;"Серьги в стиле модерн.";;"Россия. Санкт-Петербург. 1908-1917 гг.
Золото 56°, демантоиды, старые выращенные рубины. Клейма: 56, голова вправо, &#945;, «ЮВ» (именник мастера). Длина 4,5 см. Вес 4,29 гр.";0;0;6731924.jpg;8115805.jpg;8910023.jpg;;;;;;;;;;;
;1000935;03/375/04;"2011-04-14 18:18:42";"2012-04-14 00:04:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Серьги, стиль - модерн";;"Золото 56°, вес 4,29 гр. вставки – 4 демантоида массой 1,12 карат, старые, выращенные рубины.  Длина 4,5 см";0;0;3071932.jpg;6751649.jpg;8453779.jpg;;;;;;;;;;;
05;1001460;05/405/10;"2011-08-25 13:21:48";"2020-08-25 13:19:00";;;"Фигурка «Баба с крынкой молока» ";;"Камень, резьба, Последователи школы Фаберже, ХХ в., высота 13 см (скол на пальце)";0;0;7306884.jpg;7453090.jpg;8359991.jpg;5298946.jpg;3359393.jpg;3998384.jpg;;;;;;;;
;1002722;05/699/02;"2013-01-16 14:21:30";"2015-01-16 14:19:00";;;"Фигурка «Балалаечник».";;"Россия. Современная работа. Последователь К.Фаберже. Поделочный камень, резьба, золото. Высота 12 см
";0;0;5681065.jpg;4659433.jpg;1186831.jpg;9443927.jpg;9896204.jpg;;;;;;;;;
;1002723;05/699/03;"2013-01-16 14:24:52";"2015-01-16 14:21:00";;;"Фигурка «Боярин».";;"Россия. Современная работа. Последователь К.Фаберже. Поделочный камень, резьба, золото. Высота 17 см
";0;0;9713314.jpg;9782696.jpg;6503136.jpg;6006539.jpg;7535828.jpg;;;;;;;;;
;1002724;05/699/04;"2013-01-16 14:40:33";"2015-01-16 14:39:00";;;"Фигурка «Ветеран».";;"Россия. Современная работа. Последователь К.Фаберже. Поделочный камень, резьба, золото, серебро, эмаль, гильошированная эмаль. Высота 19,3 см
";0;0;7724675.jpg;5878333.jpg;4490273.jpg;9405566.jpg;3229228.jpg;;;;;;;;;
;1002721;05/699/01;"2013-01-16 14:17:13";"2015-01-16 14:13:00";;;"Фигурка «Продавец воды». ";;"Россия. Современная работа. Последователь К.Фаберже. Поделочный камень, резьба, стекло. Высота 20 см
";0;0;9541967.jpg;3371818.jpg;8935390.jpg;1617367.jpg;2041156.jpg;;;;;;;;;
