auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;00220;01/006/02;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Пепельница «Персей и Пегас»";;"Бисквит, крытье, накладные рельефы, Веджвуд, Англия, ХХ в., 11.5х11.5см";200;200;farfor_persej_i_pegas_01_006_02_1.jpg;farfor_persej_i_pegas_01_006_02_2.jpg;farfor_persej_i_pegas_01_006_02_3.jpg;;;;;;;;;;;
02;1000488;02/217/05;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Пепельница из чернильного прибора «Обсуждение Сталинской конституции»";;"Фарфор, роспись, ск. Н.Я.Данько и Е.Я.Данько, ЛФЗ, 1930-е гг., 8х20,3х10,8 см";0;0;02_217_05_1.jpg;02_217_05_2.jpg;02_217_05_4.jpg;02_217_05_5.jpg;02_217_05_6.jpg;02_217_05_7.jpg;02_217_05_8.jpg;02_217_05_9.jpg;;;;;;
;1000781;03/238/02;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Подставка под лампу «Белый медведь»";;"Фаянс, лепка, роспись, СССР, Конаково, завод им. М.И. Калинина, 1930-е гг., марка печатная черная 1934-1940 гг., высота 31,5 см";0;0;03_238_02_01.jpg;03_238_02_02.jpg;03_238_02_03.jpg;03_238_02_04.jpg;03_238_02_05.jpg;03_238_02_06.jpg;03_238_02_07.jpg;;;;;;;
;00203;01/002/03;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Подставки под яйца «Медвежата»";;"4 предмета, фарфор, роспись монохромная подглазурная, ЛФЗ (Ленинградский фарфоровый завод им. Ломоносова ), марка красно-коричневая, 1980-е гг., высота 8 см";700;700;farfor_medvegata_01_002_03_1.jpg;farfor_medvegata_01_002_03_2.jpg;farfor_medvegata_01_002_03_3.jpg;farfor_medvegata_01_002_03_4.jpg;farfor_medvegata_01_002_03_5.jpg;farfor_medvegata_01_002_03_6.jpg;farfor_medvegata_01_002_03_7.jpg;;;;;;;
02;1000489;02/217/07;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Скульптура «Белый медвежонок».";;"Фарфор, роспись, ЛФЗ, 1970-е гг., высота 11,5 см";800;800;02_217_07_1.jpg;02_217_07_2.jpg;02_217_07_3.jpg;02_217_07_4.jpg;02_217_07_5.jpg;02_217_07_6.jpg;02_217_07_7.jpg;02_217_07_8.jpg;02_217_07_9.jpg;;;;;
;00197;01/019/04;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Тарелка настенная «Медный всадник»";;"Фарфор, авторская роспись Вольмана И. Д. 1968 г., ЛФЗ (Ленинградский Фарфоровый завод), без марки, на дне надпись: «В день рождения Юзефу Иосифовичу Кравецу 13 апреля 1968 г. Вольман И. Д.», диаметр 25.5 см";0;0;farfor_tarelka_m.vsadnik_01_019_04_1.jpg;farfor_tarelka_m.vsadnik_01_019_04_2.jpg;farfor_tarelka_m.vsadnik_01_019_04_3.jpg;;;;;;;;;;;
;1000797;03/371/04;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Тарелочка «Космос»";;"Фарфор, кобальтовое крытье, роспись золотом, ЛФЗ (Ленинградский фарфоровый завод), 1960-1970-е гг., марка оранжевая «ЛФЗ 1 с», размер 18х15 см";0;0;03_371_04_01.jpg;03_371_04_02.jpg;;;;;;;;;;;;
;00207;01/002/11;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Фигура «Маленький дровосек»";;"Бисквит, роспись полихромная, завод в Песочном, марка синяя 1960-1980-е гг., высота 17 см";0;0;farfor_drovosek_01_002_11_1.jpg;farfor_drovosek_01_002_11_2.jpg;farfor_drovosek_01_002_11_3.jpg;farfor_drovosek_01_002_11_4.jpg;farfor_drovosek_01_002_11_5.jpg;farfor_drovosek_01_002_11_6.jpg;;;;;;;;
;00211;01/119/05;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Фигура «Пилав»";;"Фарфор, роспись, ЛФЗ, 1937-39 гг. Марки: зеленая ЛФЗ, черная в венке «НКТП завод им. Ломоносова Ленинград сорт2 1937». Высота 16.5 см";0;0;farfor_pilav_01_119_05_1.jpg;farfor_pilav_01_119_05_2.jpg;farfor_pilav_01_119_05_3.jpg;farfor_pilav_01_119_05_4.jpg;farfor_pilav_01_119_05_5.jpg;;;;;;;;;
;1000784;03/344/09;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигура «Русская девушка с платком», Государственный фарфоровый завод";;"Фарфор, роспись, золочение, без марки, синяя монограмма МБ (Мария Александровна Брянцева - живописец по фарфору), к. 1920-х- 1-я пол. 30-х гг., высота 13,5 см";0;0;03_344_09_01.jpg;03_344_09_02.jpg;03_344_09_03.jpg;03_344_09_04.jpg;03_344_09_05.jpg;;;;;;;;;
