"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9";"";"";""
"1000414";"http://auction-ruseasons.ru/items_images/";"Яйцо пасхальное «Цветы и гирлянды».";"Фарфор, роспись, Россия, н. ХХ в., высота 11 см.";"02/203/05";"№02";"18500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_203_05_1.jpg";"02_203_05_2.jpg";"02_203_05_3.jpg";"02_203_05_4.jpg";"02_203_05_5.jpg";"02_203_05_6.jpg";"02_203_05_7.jpg";"";"";"";"";""
"1000415";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем «Цветы».";"Фарфор, зеленое крытье, роспись, золочение, Россия, завод братьев Корниловых, 1850-60-е гг., без марки, высота чашки - 6,5 см, диаметр блюдца - 15 см.";"02/203/06";"№02";"20000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_203_06_1.jpg";"02_203_06_2.jpg";"02_203_06_3.jpg";"02_203_06_4.jpg";"02_203_06_5.jpg";"02_203_06_6.jpg";"02_203_06_7.jpg";"02_203_06_8.jpg";"02_203_06_9.jpg";"02_203_06_10.jpg";"02_203_06_11.jpg";""
"1000416";"http://auction-ruseasons.ru/items_images/";"2 рамки для фотографий «Зимние пейзажи».";"Фарфор, роспись, муар, Россия, н. ХХ в., размер 19,2х15,2 см и 19,5х15,2 см";"02/204/06";"№02";"14000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_06_1.jpg";"02_204_06_2.jpg";"02_204_06_3.jpg";"02_204_06_4.jpg";"02_204_06_5.jpg";"02_204_06_6.jpg";"02_204_06_7.jpg";"02_204_06_8.jpg";"02_204_06_9.jpg";"02_204_06_10.jpg";"";""
"1000417";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем.";"Фарфор, кобальт, роспись золотом, фабрика М.С. Кузнецова в Дулево, н . ХХ в., высота чашки  5,5 см, диаметр блюдца 15,5 см.";"02/204/10";"№02";"3500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_10_1.jpg";"02_204_10_2.jpg";"02_204_10_3.jpg";"02_204_10_4.jpg";"02_204_10_5.jpg";"02_204_10_6.jpg";"02_204_10_7.jpg";"02_204_10_8.jpg";"02_204_10_9.jpg";"";"";""
"1000418";"http://auction-ruseasons.ru/items_images/";"Три декоративные тарелки «Девочка с лукошком».";"Фарфор, роспись, подпись «Л. Добровольская», Россия, н. ХХ в., диаметр 20 см. Сколы.";"02/204/14";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_14_1.jpg";"02_204_14_2.jpg";"02_204_14_3.jpg";"02_204_14_4.jpg";"02_204_14_5.jpg";"02_204_14_6.jpg";"02_204_14_7.jpg";"02_204_14_8.jpg";"02_204_14_9.jpg";"02_204_14_10.jpg";"";""
"1000419";"http://auction-ruseasons.ru/items_images/";"Конфетница «Корзинка».";"Фарфор, роспись полихромная, лепка, н. ХХ в., без марки, высота 16 см.";"02/206/01";"№02";"1100";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_01_1.jpg";"02_206_01_2.jpg";"02_206_01_3.jpg";"02_206_01_4.jpg";"02_206_01_5.jpg";"";"";"";"";"";"";""
"1000420";"http://auction-ruseasons.ru/items_images/";"Вазы парные в стиле рококо.";"Фарфор, голубое крытье, роспись под-надглазурная, золочение, Западная Европа, к. XIX - ХХ вв., высота 47 см.";"02/206/06";"№02";"48000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_06_1.jpg";"02_206_06_2.jpg";"02_206_06_3.jpg";"02_206_06_4.jpg";"02_206_06_5.jpg";"02_206_06_6.jpg";"";"";"";"";"";""
"1000421";"http://auction-ruseasons.ru/items_images/";"Тарелка декоративная «Портрет цыганки».";"Фарфор, крытье, живопись надглазурная полихромная, н. ХХ в., диаметр 17,5 см.";"02/206/09";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_09_1.jpg";"02_206_09_2.jpg";"";"";"";"";"";"";"";"";"";""
"1000422";"http://auction-ruseasons.ru/items_images/";"Шкатулка «Курица».";"Бисквит, полихромная роспись, к. XIX в., высота 23 см, длина 27 см.";"02/206/10";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_10_1.jpg";"02_206_10_2.jpg";"02_206_10_3.jpg";"02_206_10_4.jpg";"02_206_10_5.jpg";"02_206_10_6.jpg";"02_206_10_7.jpg";"";"";"";"";""
"1000423";"http://auction-ruseasons.ru/items_images/";"Парные вазочки «Ландыши».";"Фарфор, подглазурная полихромная роспись, Копенгаген, Дания, Bing & Grondal, 1-я пол. ХХ в., высота 16,5 см.";"02/206/11";"№02";"9000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_11_1.jpg";"02_206_11_2.jpg";"02_206_11_3.jpg";"02_206_11_4.jpg";"02_206_11_5.jpg";"";"";"";"";"";"";""
