"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000612";"http://auction-ruseasons.ru/items_images/";"Кошелек.";"Бисер, шитье, нить плетеная, XIX в. Размер 8,5х7 см.";"02/204/08";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_08_1.jpg";"02_204_08_2.jpg";"";"";"";"";"";"";""
"1000613";"http://auction-ruseasons.ru/items_images/";"Кошелек.";"Бисер, шитье, нить плетеная, XIX в. Размер 10х7 см. Нити с разрывами.";"02/204/09";"№02";"2500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_09_1.jpg";"02_204_09_2.jpg";"02_204_09_3.jpg";"";"";"";"";"";""
"1000614";"http://auction-ruseasons.ru/items_images/";"Галун.";"Золотое шитье, н. ХХ в., ширина 2,2 см, длина 92 см.";"02/204/15";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_15_1.jpg";"02_204_15_2.jpg";"";"";"";"";"";"";""
"1000615";"http://auction-ruseasons.ru/items_images/";"Галун.";"Золотое шитье, н. ХХ в., ширина 2,7 см, длина 92 см.";"02/204/16";"№02";"1000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_16_1.jpg";"02_204_16_2.jpg";"";"";"";"";"";"";""
"1000616";"http://auction-ruseasons.ru/items_images/";"Кошелек «Охотничьи сцены».";"Бисер, шитье, кожа, тиснение, муар, застежки - латунь, золочение, Россия(?), 1-я пол. XIX в., размер 10х14 см. (утраты, разрывы, потертости)";"02/212/06";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_212_06_1.jpg";"02_212_06_2.jpg";"02_212_06_3.jpg";"02_212_06_4.jpg";"02_212_06_5.jpg";"";"";"";""
"1000617";"http://auction-ruseasons.ru/items_images/";"Сумочка театральная.";"Стеклярус, шитье, металл, Западная Европа, 1-я пол. ХХ в., размер 12х17 см. (подкладка потерта, с разрывами)";"02/214/05";"№02";"2200";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_214_05_1.jpg";"02_214_05_2.jpg";"02_214_05_3.jpg";"";"";"";"";"";""
