"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9";"";"";"";""
"1000564";"http://auction-ruseasons.ru/items_images/";"Булавка.";"Золото 56, природная жемчужина. Литье, резьба, монтировка, Россия, Санкт-Петербург, 90-е гг. XIX в., клейма: в овале с перемычкой - 56, герб Санкт-Петербурга, именник мастера КА, вес 1,71 гр, масса жемчужины 2,3 ct., длина 7,7 см.";"02/201/05";"№02";"4500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_201_05_1.jpg";"02_201_05_2.jpg";"02_201_05_3.jpg";"02_201_05_4.jpg";"";"";"";"";"";"";"";"";""
"1000565";"http://auction-ruseasons.ru/items_images/";"Брошь.";"Золото, серебро, аметист, литье гравировка, чеканка. Россия, к. XIX в., размер: аметист - 1,7х1,4 см, брошь - 3,3х2,5 см, вес 9,8 гр. Клейма отсутствуют.";"02/209/01";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_209_01_1.jpg";"02_209_01_2.jpg";"02_209_01_3.jpg";"";"";"";"";"";"";"";"";"";""
"1000566";"http://auction-ruseasons.ru/items_images/";"Рукоять печати в виде дерущихся льва и лошади.";"Серебро 800, синтетический рубин, литье, огранка, чернение, Западная Европа, к. XIX - н. ХХ вв., клейм нет, высота 6,9 см, вес 91,02 гр.";"02/209/02";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_209_02_1.jpg";"02_209_02_2.jpg";"02_209_02_3.jpg";"02_209_02_4.jpg";"02_209_02_5.jpg";"02_209_02_6.jpg";"02_209_02_7.jpg";"02_209_02_8.jpg";"02_209_02_9.jpg";"";"";"";""
"1000567";"http://auction-ruseasons.ru/items_images/";"Кольцо.";"Золото 583, сапфир, бриллианты, алмазные розы. Литье, огранка, Россия, н. ХХ в., клейм нет. 15 алмазных роз, общая масса 0,04 ct, 2 бриллианта (Бр - 0,06 ct 3/5, Бр - 0,09ct 3/5), сапфир бриллиантовой огранки - 0,31 ct 2/3., диаметр 1,9 см";"02/209/04";"№02";"29000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_209_04_1.jpg";"02_209_04_2.jpg";"02_209_04_3.jpg";"02_209_04_4.jpg";"";"";"";"";"";"";"";"";""
"1000568";"http://auction-ruseasons.ru/items_images/";"Кольцо.";"Золото 500, эмаль, бриллианты. Литье, гильоширование, эмальирование, огранка. Россия, н. ХХ в., клейм нет. Бриллиант: диаметр 2,6-2,7 мм, масса 0,07 ct 7/7-8. Вес 3,28 гр., диаметр 1,8 см";"02/209/05";"№02";"12000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_209_05_1.jpg";"02_209_05_2.jpg";"02_209_05_3.jpg";"02_209_05_4.jpg";"";"";"";"";"";"";"";"";""
"1000569";"http://auction-ruseasons.ru/items_images/";"Брелок «Повозка и ведро»";"Серебро 875, размер повозки: длина 2,5 см, высота 1,9 см, высота ведра 1,7 см, вес 2,97 гр.";"02/209/06";"№02";"6000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_209_06_1.jpg";"02_209_06_2.jpg";"02_209_06_3.jpg";"02_209_06_4.jpg";"02_209_06_5.jpg";"02_209_06_6.jpg";"02_209_06_7.jpg";"02_209_06_8.jpg";"02_209_06_9.jpg";"02_209_06_10.jpg";"02_209_06_11.jpg";"02_209_06_12.jpg";"02_209_06_13.jpg"
"1000570";"http://auction-ruseasons.ru/items_images/";"Заколка для галстука.";"Золото 500, серебро 875, 1 изумруд - 1,01 ct 3/2, 17 бриллиантов - 0,77 ct 3/5, 1 бриллиант - 0,03 ct, длина 6 см.";"02/209/07";"№02";"35000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_209_07_1.jpg";"02_209_07_2.jpg";"02_209_07_3.jpg";"02_209_07_4.jpg";"";"";"";"";"";"";"";"";""
