"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000540";"http://auction-ruseasons.ru/items_images/";"Настенное украшение-панно «Голова лисицы».";"Дерево, резьба, бронза, смальта. Германия(?), 1-я пол. ХХ в. Размеры 34х33 см. Утраты по дереву, бронза покрыта лаком.";"02/196/01";"№02";"9000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_196_01_1.jpg";"02_196_01_2.jpg";"02_196_01_3.jpg";"02_196_01_4.jpg";"";"";"";"";""
"1000541";"http://auction-ruseasons.ru/items_images/";"Бра настенное на 3 свечи.";"Бронза, золочение, из 2-х частей, к. ХIХ в., высота 53см";"02/205/01";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_01_1.jpg";"02_205_01_2.jpg";"02_205_01_3.jpg";"02_205_01_4.jpg";"02_205_01_5.jpg";"02_205_01_6.jpg";"02_205_01_7.jpg";"02_205_01_8.jpg";""
"1000542";"http://auction-ruseasons.ru/items_images/";"Подсвечник.";"Бронза, золочение, 2 хрустальные подвески, к. ХIХ в., высота 30,5см";"02/205/04";"№02";"4000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_04_1.jpg";"02_205_04_2.jpg";"02_205_04_3.jpg";"02_205_04_4.jpg";"02_205_04_5.jpg";"";"";"";""
"1000543";"http://auction-ruseasons.ru/items_images/";"Подсвечник.";"Бронза, золочение, 2 хрустальные подвески, к. ХIХ в., высота 30,5см";"02/205/05";"№02";"3000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_05_1.jpg";"02_205_05_2.jpg";"02_205_05_3.jpg";"02_205_05_4.jpg";"02_205_05_5.jpg";"02_205_05_6.jpg";"";"";""
"1000544";"http://auction-ruseasons.ru/items_images/";"Подсвечник.";"Латунь, серебрение, Варшава, к. ХIХ в., высота 31,5 см (серебрение сильно потерто)";"02/205/06";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_06_1.jpg";"02_205_06_2.jpg";"02_205_06_3.jpg";"02_205_06_4.jpg";"02_205_06_5.jpg";"02_205_06_6.jpg";"02_205_06_7.jpg";"";""
"1000545";"http://auction-ruseasons.ru/items_images/";"Лампа «Купальщица с зеркалом».";"Фарфор, живопись, бронза, абажур, к. XIX в., Западная Европа, высота 37 см.";"02/206/08";"№02";"12000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_08_1.jpg";"02_206_08_2.jpg";"02_206_08_3.jpg";"02_206_08_4.jpg";"02_206_08_5.jpg";"02_206_08_6.jpg";"02_206_08_7.jpg";"";""
"1000546";"http://auction-ruseasons.ru/items_images/";"Лампа настольная электрическая на 3 светоточки в стиле ампир.";"Бронза, абажур - бумага, ткань, подставки под лампы - бумага, 2-я пол. ХХ в., высота 37,5 см.";"02/211/04";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_211_04_1.jpg";"02_211_04_2.jpg";"02_211_04_3.jpg";"02_211_04_4.jpg";"";"";"";"";""
