"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000400";"http://auction-ruseasons.ru/items_images/";"Икона «Св.Николай Чудотворец».";"Дерево, масло, к. ХIХ в., 26,7х22,3 см. (сколы по углам, потертости)";"02/199/02";"№02";"12000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_199_02_1.jpg";"02_199_02_2.jpg";"";"";"";"";"";"";""
"1000401";"http://auction-ruseasons.ru/items_images/";"Икона «Сретение Господне».";"Дерево, масло, сусальное золочение, Россия, к. XIX в., размер 31х26,5 см. (сколы, потертости)";"02/213/09";"№02";"14000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_213_09_1.jpg";"02_213_09_2.jpg";"";"";"";"";"";"";""
