auction_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;img;img;img;img;img;img;img;img
№02;02/199/02;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Икона «Св.Николай Чудотворец».;Дерево, масло, к. ХIХ в., 26,7х22,3 см. (сколы по углам, потертости);Дерево, масло, к. ХIХ в., 26,7х22,3 см. (сколы по углам, потертости);12000;icon_02_199_02_1.jpg;icon_02_199_02_2.jpg;;;;;;
№02;02/213/09;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Икона «Сретение Господне».;Дерево, масло, сусальное золочение, Россия, к. XIX в., размер 31х26,5 см. (сколы, потертости);Дерево, масло, сусальное золочение, Россия, к. XIX в., размер 31х26,5 см. (сколы, потертости);14000;icon_02_213_09_1.jpg;icon_02_213_09_2.jpg;;;;;;
